2026-07-08 15:20:20 | WARNING  | app.utils.data_loader | Validation failed for 'nonexistent.json': Required data file not found: 'nonexistent.json'
2026-07-08 15:20:20 | ERROR    | app.utils.data_loader | Invalid JSON in 'C:\Users\Sri Balagi\AppData\Local\Temp\pytest-of-Sri Balagi\pytest-4\test_invalid_json_returns_fals0\bad_json.json' at line 1, col 1: Expecting value
2026-07-08 15:20:20 | WARNING  | app.utils.data_loader | Validation failed for 'bad_json.json': Malformed JSON in data file: 'bad_json.json'
2026-07-08 15:20:20 | ERROR    | app.utils.data_loader | Data file not found: C:\Users\Sri Balagi\AppData\Local\Temp\pytest-of-Sri Balagi\pytest-4\test_returns_dict0\dependencies.json
2026-07-08 15:20:20 | WARNING  | app.utils.data_loader | Validation failed for 'dependencies.json': Required data file not found: 'dependencies.json'
2026-07-08 15:20:20 | ERROR    | app.utils.data_loader | Data file not found: C:\Users\Sri Balagi\AppData\Local\Temp\pytest-of-Sri Balagi\pytest-4\test_returns_dict0\rules.json
2026-07-08 15:20:20 | WARNING  | app.utils.data_loader | Validation failed for 'rules.json': Required data file not found: 'rules.json'
2026-07-08 15:20:20 | ERROR    | app.utils.data_loader | Data file not found: C:\Users\Sri Balagi\AppData\Local\Temp\pytest-of-Sri Balagi\pytest-4\test_returns_dict0\pricing.json
2026-07-08 15:20:20 | WARNING  | app.utils.data_loader | Validation failed for 'pricing.json': Required data file not found: 'pricing.json'
2026-07-08 15:20:20 | ERROR    | app.utils.data_loader | Data file not found: C:\Users\Sri Balagi\AppData\Local\Temp\pytest-of-Sri Balagi\pytest-4\test_returns_dict0\categories.json
2026-07-08 15:20:20 | WARNING  | app.utils.data_loader | Validation failed for 'categories.json': Required data file not found: 'categories.json'
2026-07-08 15:20:20 | ERROR    | app.utils.data_loader | Data file not found: C:\Users\Sri Balagi\AppData\Local\Temp\pytest-of-Sri Balagi\pytest-4\test_returns_dict0\catalog_metadata.json
2026-07-08 15:20:20 | WARNING  | app.utils.data_loader | Validation failed for 'catalog_metadata.json': Required data file not found: 'catalog_metadata.json'
2026-07-08 15:20:20 | ERROR    | app.utils.data_loader | Data file not found: C:\Users\Sri Balagi\AppData\Local\Temp\pytest-of-Sri Balagi\pytest-4\test_returns_dict0\feature_mappings.json
2026-07-08 15:20:20 | WARNING  | app.utils.data_loader | Validation failed for 'feature_mappings.json': Required data file not found: 'feature_mappings.json'
2026-07-08 15:20:20 | ERROR    | app.utils.data_loader | Data file not found: C:\Users\Sri Balagi\AppData\Local\Temp\pytest-of-Sri Balagi\pytest-4\test_returns_dict0\feature_groups.json
2026-07-08 15:20:20 | WARNING  | app.utils.data_loader | Validation failed for 'feature_groups.json': Required data file not found: 'feature_groups.json'
2026-07-08 15:20:20 | ERROR    | app.utils.data_loader | Data file not found: C:\Users\Sri Balagi\AppData\Local\Temp\pytest-of-Sri Balagi\pytest-4\test_returns_dict0\feature_options.json
2026-07-08 15:20:20 | WARNING  | app.utils.data_loader | Validation failed for 'feature_options.json': Required data file not found: 'feature_options.json'
2026-07-08 15:20:20 | ERROR    | app.utils.data_loader | Data file not found: C:\Users\Sri Balagi\AppData\Local\Temp\pytest-of-Sri Balagi\pytest-4\test_covers_all_required_data_0\dependencies.json
2026-07-08 15:20:20 | WARNING  | app.utils.data_loader | Validation failed for 'dependencies.json': Required data file not found: 'dependencies.json'
2026-07-08 15:20:20 | ERROR    | app.utils.data_loader | Data file not found: C:\Users\Sri Balagi\AppData\Local\Temp\pytest-of-Sri Balagi\pytest-4\test_covers_all_required_data_0\rules.json
2026-07-08 15:20:20 | WARNING  | app.utils.data_loader | Validation failed for 'rules.json': Required data file not found: 'rules.json'
2026-07-08 15:20:20 | ERROR    | app.utils.data_loader | Data file not found: C:\Users\Sri Balagi\AppData\Local\Temp\pytest-of-Sri Balagi\pytest-4\test_covers_all_required_data_0\pricing.json
2026-07-08 15:20:20 | WARNING  | app.utils.data_loader | Validation failed for 'pricing.json': Required data file not found: 'pricing.json'
2026-07-08 15:20:20 | ERROR    | app.utils.data_loader | Data file not found: C:\Users\Sri Balagi\AppData\Local\Temp\pytest-of-Sri Balagi\pytest-4\test_covers_all_required_data_0\categories.json
2026-07-08 15:20:20 | WARNING  | app.utils.data_loader | Validation failed for 'categories.json': Required data file not found: 'categories.json'
2026-07-08 15:20:20 | ERROR    | app.utils.data_loader | Data file not found: C:\Users\Sri Balagi\AppData\Local\Temp\pytest-of-Sri Balagi\pytest-4\test_covers_all_required_data_0\catalog_metadata.json
2026-07-08 15:20:20 | WARNING  | app.utils.data_loader | Validation failed for 'catalog_metadata.json': Required data file not found: 'catalog_metadata.json'
2026-07-08 15:20:20 | ERROR    | app.utils.data_loader | Data file not found: C:\Users\Sri Balagi\AppData\Local\Temp\pytest-of-Sri Balagi\pytest-4\test_covers_all_required_data_0\feature_mappings.json
2026-07-08 15:20:20 | WARNING  | app.utils.data_loader | Validation failed for 'feature_mappings.json': Required data file not found: 'feature_mappings.json'
2026-07-08 15:20:20 | ERROR    | app.utils.data_loader | Data file not found: C:\Users\Sri Balagi\AppData\Local\Temp\pytest-of-Sri Balagi\pytest-4\test_covers_all_required_data_0\feature_groups.json
2026-07-08 15:20:20 | WARNING  | app.utils.data_loader | Validation failed for 'feature_groups.json': Required data file not found: 'feature_groups.json'
2026-07-08 15:20:20 | ERROR    | app.utils.data_loader | Data file not found: C:\Users\Sri Balagi\AppData\Local\Temp\pytest-of-Sri Balagi\pytest-4\test_covers_all_required_data_0\feature_options.json
2026-07-08 15:20:20 | WARNING  | app.utils.data_loader | Validation failed for 'feature_options.json': Required data file not found: 'feature_options.json'
